timestamp,av_transaction_value
2010-07-17,2.924
2010-07-18,6.237
2010-07-19,7.666
2010-07-20,3.94
2010-07-21,4.583
2010-07-22,6.474
2010-07-23,2.837
2010-07-24,2.842
2010-07-25,1.368
2010-07-26,9.868
2010-07-27,4.343
2010-07-28,2.059
2010-07-29,0.662
2010-07-30,4.11
2010-07-31,3.475
2010-08-01,45.301
2010-08-02,9.782
2010-08-03,3.748
2010-08-04,4.57
2010-08-05,4.718
2010-08-06,3.217
2010-08-07,5.545
2010-08-08,1.585
2010-08-09,12.034
2010-08-10,6.874
2010-08-11,8.46
2010-08-12,2.764
2010-08-13,4.451
2010-08-14,2.473
2010-08-15,3.552
2010-08-16,9.826
2010-08-17,10.652
2010-08-18,6.842
2010-08-19,4.225
2010-08-20,4.622
2010-08-21,7.459
2010-08-22,3.654
2010-08-23,3.153
2010-08-24,3.615
2010-08-25,2.86
2010-08-26,2.493
2010-08-27,6.296
2010-08-28,3.166
2010-08-29,2.13
2010-08-30,2.725
2010-08-31,5.65
2010-09-01,4.726
2010-09-02,6.731
2010-09-03,5.702
2010-09-04,6.774
2010-09-05,27.365
2010-09-06,16.902
2010-09-07,3.965
2010-09-08,3.202
2010-09-09,6.444
2010-09-10,2.417
2010-09-11,2.103
2010-09-12,3.028
2010-09-13,16.686
2010-09-14,4.429
2010-09-15,5.704
2010-09-16,4.887
2010-09-17,12.503
2010-09-18,6.56
2010-09-19,8.902
2010-09-20,5.549
2010-09-21,2.151
2010-09-22,4.133
2010-09-23,12.023
2010-09-24,2.399
2010-09-25,3.497
2010-09-26,3.486
2010-09-27,3.439
2010-09-28,10.302
2010-09-29,5.974
2010-09-30,7.048
2010-10-01,6.181
2010-10-02,44.77
2010-10-03,12.309
2010-10-04,83.668
2010-10-05,32.061
2010-10-06,18.555
2010-10-07,24.387
2010-10-08,32.454
2010-10-09,40.929
2010-10-10,30.917
2010-10-11,14.918
2010-10-12,20.949
2010-10-13,30.917
2010-10-14,50.052
2010-10-15,45.771
2010-10-16,45.166
2010-10-17,24.215
2010-10-18,38.587
2010-10-19,28.317
2010-10-20,27.863
2010-10-21,34.459
2010-10-22,22.629
2010-10-23,8.909
2010-10-24,21.169
2010-10-25,40.625
2010-10-26,49.589
2010-10-27,60.185
2010-10-28,69.027
2010-10-29,34.089
2010-10-30,26.534
2010-10-31,40.857
2010-11-01,23.356
2010-11-02,42.172
2010-11-03,31.766
2010-11-04,98.32
2010-11-05,22.34
2010-11-06,104.697
2010-11-07,80.598
2010-11-08,285.555
2010-11-09,29.997
2010-11-10,33.181
2010-11-11,23.865
2010-11-12,29.278
2010-11-13,31.274
2010-11-14,23.626
2010-11-15,14.717
2010-11-16,10.199
2010-11-17,32.319
2010-11-18,9.755
2010-11-19,1.548
2010-11-20,4.603
2010-11-21,3.47
2010-11-22,25.649
2010-11-23,35.347
2010-11-24,2.776
2010-11-25,2.856
2010-11-26,19.103
2010-11-27,15.479
2010-11-28,14.789
2010-11-29,19.442
2010-11-30,28.829
2010-12-01,23.491
2010-12-02,32.159
2010-12-03,17.995
2010-12-04,35.879
2010-12-05,10.121
2010-12-06,44.298
2010-12-07,32.346
2010-12-08,13.571
2010-12-09,18.623
2010-12-10,14.428
